Code,Depto,Municipio,Censo_Electoral,Participación/Total_votación,Abstención,Ganador_Circunscripción_Nacional,Votos_Válidos_(Nacional),Alianza_Verde,Cambio_Radical,Centro_Democrático,Partido_Conservador,FARC,Partido_Liberal,Opción_Ciudadana,MIRA,Polo_Democrático_Alternativo,Partido_de_la_U,Somos,Todos_Somos_Colombia,Coalición_Lista_de_la_Decencia_(ASI-UP-MAIS),GSC_Colombia_Justa_Libres,GSC_Si_se_puede,GSC_Unión_con_Fortaleza,Voto_en_Blanco_(Nacional),Ganador_Circunscripción_Indígena,Votos_Válidos_Indígenas,Autoridad_Tradicional_Casiyouren,MAIS,AICO,Movimiento_Indígena_Ambiental_-_MIA,Movimiento_Político_Soberanía,ASI,Renovación_Étnica_de_Colombia,Voto_en_Blanco_(Indígena),Vótos_Válidos_(todas_las_circunscripciones),Votos_Inválidos,Votos_Nulos,Tarjetones_no_Marcados,Participación,Abstención
91430,Amazonas,La_Victoria_,61,29,32,Alianza_Verde,26,11,7,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,Voto_en_Blanco_,1,0,0,0,0,0,0,0,1,27,2,1,1,0.475409836065574,0.524590163934426
11001,Bogotá_D.C.,Bogotá_D.C.,5690937,2809019,2881918,Alianza_Verde,2494983,545282,196231,470171,101332,10361,156053,28519,113976,156262,119016,24158,10047,233839,120823,2192,3534,203187,Voto_en_Blanco_,94806,329,9896,1221,792,334,2814,1222,78198,2589789,219230,160246,58984,0.49359516719303,0.50640483280697
15001,Boyacá,Tunja,121295,70683,50612,Alianza_Verde,61221,16260,7059,6929,2798,167,3044,2038,1350,3695,3017,830,190,2929,2134,60,505,8216,Voto_en_Blanco_,2933,0,460,23,13,0,49,15,2373,64154,6529,5063,1466,0.582736304052104,0.417263695947896
15022,Boyacá,Almeida,1976,873,1103,Alianza_Verde,763,280,34,77,205,0,21,5,6,7,86,0,1,4,4,1,10,22,Voto_en_Blanco_,12,0,4,0,0,0,0,0,8,775,98,35,63,0.441801619433198,0.558198380566802
15051,Boyacá,Arcabuco,4744,2391,2353,Alianza_Verde,2026,511,311,388,85,2,149,29,40,89,109,54,11,67,24,0,2,155,Voto_en_Blanco_,79,0,4,0,0,0,0,1,74,2105,286,155,131,0.504005059021922,0.495994940978078
15087,Boyacá,Belén,6805,3412,3393,Alianza_Verde,2779,570,354,328,170,3,336,38,20,109,444,16,8,49,70,1,46,217,Voto_en_Blanco_,157,1,55,0,0,0,8,0,93,2936,476,218,258,0.50139603232917,0.49860396767083
15090,Boyacá,Berbeo,1484,747,737,Alianza_Verde,687,424,28,58,5,0,82,3,14,7,26,0,2,9,5,0,2,22,Voto_en_Blanco_,12,0,0,0,0,0,0,0,12,699,48,19,29,0.503369272237197,0.496630727762803
15092,Boyacá,Betéitiva,1955,989,966,Alianza_Verde,829,269,94,121,54,1,94,21,4,16,55,5,2,13,2,0,6,72,Voto_en_Blanco_,24,0,2,0,0,0,0,0,22,853,136,37,99,0.505882352941177,0.494117647058824
15097,Boyacá,Boavita,5131,2140,2991,Alianza_Verde,1881,831,221,220,170,4,46,21,6,96,113,0,2,30,10,1,12,98,Voto_en_Blanco_,35,0,0,0,0,0,3,0,32,1916,224,92,132,0.417072695381017,0.582927304618983
15106,Boyacá,Briceño,2151,1076,1075,Alianza_Verde,914,356,43,211,69,0,46,15,3,20,90,3,3,6,2,3,5,39,Voto_en_Blanco_,25,0,2,0,0,0,0,0,23,939,137,38,99,0.500232450023245,0.499767549976755
