,Indice_2018,Indice_2019,Indice_2020,Vot_Max,Prob_Part_Gan,Partido
Antioquia,50.8,51.0,49.0,502148.0,0.7399655177495174,Centro_Democrático
Atlántico,50.6,50.5,46.6,284220.0,0.8703001129901984,Cambio_Radical
Bolívar,46.4,46.3,43.4,69109.0,0.3686068900777121,Partido_Liberal
Boyacá,48.6,45.5,40.0,70264.0,0.5587327841216324,Alianza_Verde
Caldas,47.0,46.8,46.5,52689.0,0.5748120833924266,Partido_Liberal
Caquetá,44.0,43.1,43.1,11530.0,0.49495599914144667,Centro_Democrático
Cauca,49.3,47.5,45.3,49164.0,0.5540791831490686,Cambio_Radical
Cesar,42.9,43.6,39.0,76450.0,0.6647305863019416,Partido_de_la_U
Chocó,36.3,32.6,28.6,14851.0,0.45148051316349486,Partido_Liberal
Córdoba,48.2,47.3,43.6,120065.0,0.4825492134686955,Partido_Conservador
Cundinamarca,57.0,54.8,54.1,94921.0,0.5556427112175191,Centro_Democrático
Huila,47.9,49.6,47.4,44205.0,0.5712864121584946,Centro_Democrático
La_Guajira,50.0,48.8,44.4,49046.0,0.7346504695855365,Partido_Conservador
Magdalena,42.2,42.8,38.2,130522.0,0.7973341152610295,Cambio_Radical
Meta,49.1,48.9,44.4,52041.0,0.7196929885216429,Centro_Democrático
Nariño,52.6,52.9,50.6,93699.0,0.6438377813814143,Partido_Conservador
Norte_de_Santander,45.4,44.4,42.6,67972.0,0.5348293742279154,Partido_Conservador
Quindío,52.8,52.0,47.0,58332.0,1.0,Partido_Liberal
Risaralda,52.2,50.8,47.5,48067.0,0.7327956825319389,Centro_Democrático
Santander,56.5,55.3,51.1,82965.0,0.44386010903235124,Partido_Liberal
Sucre,48.9,47.7,43.8,169431.0,0.9853332015143673,Cambio_Radical
Tolima,53.2,50.4,47.1,56102.0,0.4428009913337227,Partido_Conservador
Valle_del_Cauca,54.2,54.9,51.7,115117.0,0.37711749193297406,Partido_de_la_U
