,Alianza_Verde,Cambio_Radical,Centro_Democrático,Coalición_Lista_de_la_Decencia_(ASI-UP-MAIS),MIRA,Opción_Ciudadana,Partido_Conservador,Partido_de_la_U,Partido_Liberal,Polo_Democrático_Alternativo
Amazonas,11.0,143.0,0.0,0.0,0.0,0.0,28.0,605.0,3047.0,0.0
Antioquia,0.0,7580.0,502148.0,0.0,0.0,0.0,72891.0,35673.0,58720.0,1598.0
Arauca,0.0,0.0,21399.0,0.0,0.0,0.0,0.0,3807.0,778.0,0.0
Archipiélago_de_San_Andrés,0.0,4430.0,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlántico,0.0,284220.0,0.0,0.0,0.0,0.0,19187.0,23170.0,0.0,0.0
Bogotá_D.C.,545282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolívar,0.0,11889.0,1480.0,0.0,0.0,2173.0,64570.0,38266.0,69109.0,0.0
Boyacá,70264.0,17538.0,24755.0,0.0,0.0,1270.0,2383.0,4511.0,4428.0,607.0
Caldas,0.0,0.0,11554.0,0.0,0.0,0.0,2424.0,24996.0,52689.0,0.0
Caquetá,0.0,0.0,11530.0,0.0,694.0,0.0,1990.0,312.0,8769.0,0.0
Casanare,0.0,0.0,53018.0,0.0,0.0,0.0,0.0,0.0,317.0,0.0
Cauca,0.0,49164.0,0.0,0.0,0.0,0.0,0.0,2723.0,36844.0,0.0
Cesar,0.0,38559.0,0.0,0.0,0.0,0.0,0.0,76450.0,0.0,0.0
Chocó,0.0,5874.0,0.0,0.0,0.0,0.0,2214.0,9955.0,14851.0,0.0
Consulados,0.0,0.0,41492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cundinamarca,2114.0,8186.0,94921.0,0.0,0.0,0.0,22696.0,41226.0,1688.0,0.0
Córdoba,0.0,23061.0,10716.0,0.0,0.0,3075.0,120065.0,70828.0,21069.0,0.0
Guainía,0.0,0.0,2264.0,0.0,0.0,0.0,0.0,12.0,232.0,0.0
Guaviare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6254.0,328.0,0.0
Huila,0.0,2535.0,44205.0,0.0,0.0,0.0,19571.0,0.0,11067.0,0.0
La_Guajira,0.0,3652.0,0.0,0.0,0.0,10158.0,49046.0,2369.0,1536.0,0.0
Magdalena,0.0,130522.0,0.0,0.0,0.0,0.0,0.0,33176.0,0.0,0.0
Meta,0.0,5827.0,52041.0,0.0,0.0,0.0,1379.0,8423.0,4640.0,0.0
Nariño,18731.0,0.0,0.0,0.0,0.0,0.0,93699.0,4437.0,28665.0,0.0
Norte_de_Santander,0.0,40325.0,9558.0,0.0,0.0,0.0,67972.0,2582.0,4712.0,1942.0
Putumayo,0.0,0.0,0.0,0.0,0.0,0.0,6320.0,0.0,17043.0,0.0
Quindío,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58332.0,0.0
Risaralda,0.0,0.0,48067.0,4875.0,0.0,0.0,2596.0,1293.0,8763.0,0.0
Santander,0.0,18688.0,23275.0,0.0,0.0,1495.0,3666.0,0.0,82965.0,56828.0
Sucre,0.0,169431.0,0.0,0.0,0.0,0.0,0.0,2522.0,0.0,0.0
Tolima,0.0,13163.0,43919.0,0.0,0.0,0.0,56102.0,3744.0,9770.0,0.0
Valle_del_Cauca,0.0,11757.0,111630.0,0.0,0.0,0.0,30161.0,115117.0,17265.0,19325.0
Vaupés,0.0,497.0,0.0,0.0,0.0,0.0,0.0,2014.0,206.0,0.0
Vichada,0.0,0.0,3851.0,0.0,0.0,0.0,0.0,1504.0,0.0,0.0
